host_time_sec,elapsed_sec,state_stamp_sec,raw_state_stamp_sec,body_roll,body_pitch,body_roll_rate,body_pitch_rate,left_hip_absolute,left_calf_absolute,left_leg_length,left_phi,left_phi_rate,right_hip_absolute,right_calf_absolute,right_leg_length,right_phi,right_phi_rate,left_phi_raw,left_phi_rate_raw,right_phi_raw,right_phi_rate_raw,left_right_hip_absolute_diff_deg,left_right_calf_absolute_diff_deg,left_right_phi_diff_deg,left_right_phi_rate_diff_deg_s,left_right_leg_length_diff_mm,raw_left_hip_pos,raw_left_hip_vel,raw_left_hip_effort,raw_left_knee_pos,raw_left_knee_vel,raw_left_knee_effort,raw_right_hip_pos,raw_right_hip_vel,raw_right_hip_effort,raw_right_knee_pos,raw_right_knee_vel,raw_right_knee_effort,cmd_left_hip,cmd_left_knee,cmd_right_hip,cmd_right_knee,left_right_cmd_hip_diff_nm,left_right_cmd_knee_diff_nm,lqr_left_hip_torque,lqr_right_hip_torque,left_leg_length_force,right_leg_length_force,left_right_lqr_hip_diff_nm,vmc_left_hip_torque,vmc_left_knee_torque,vmc_right_hip_torque,vmc_right_knee_torque,left_right_vmc_hip_diff_nm,left_right_vmc_knee_diff_nm,vmc_column_left_hip,vmc_column_left_knee,vmc_column_right_hip,vmc_column_right_knee
1783422515.8750863,6.031076192855835,1783422515.5639377,1783422515.5639377,-0.0033556048292666674,0.0007669954211451113,-0.0031957849860191345,-0.0010652616620063782,2.7294650077819824,1.0973056554794312,0.27938810573200024,1.7957831895851624,0.6965452063862951,2.604130268096924,1.253661870956421,0.3173759924780227,1.8401509755017844,-0.001246521158726988,1.7957831895851624,0.0,1.8401509755017844,0.002275783649185225,7.181151610324686,-8.958551247469595,-2.542086879362416,39.9805209674724,-37.98788674602244,2.7294650077819824,1.182443618774414,0.0,1.0973056554794312,0.8788431882858276,0.0,2.604130268096924,-0.006391587201505899,0.0,1.253661870956421,-0.007989483885467052,0.0,-2.888203298248984,-3.461743756146625,-1.7289065827499535,-4.3821945563500835,-1.1592967154990306,0.9204508002034584,-2.8882032982489836,-1.7289065827499548,-11.614546379493323,-26.99309882251896,-1.1592967154990288,-2.888203298248984,-3.461743756146625,-1.7289065827499535,-4.3821945563500835,-1.1592967154990306,0.9204508002034584,-2.888203298248984,-1.7812720751235958,-1.7289065827499548,-1.020864368460666
1783422515.8796425,6.035632371902466,1783422515.5689383,1783422515.5689383,-0.0033556048292666674,0.0007669954211451113,0.0010652616620063782,0.0,2.7395405769348145,1.1033170223236084,0.2787995243194503,1.8033511990622988,1.0232674322368542,2.6041951179504395,1.253661870956421,0.3173679169497786,1.8401775335182549,0.0013763761193346289,1.8033511990622988,1.5133507710126928,1.8401775335182549,0.005310722036427054,7.754723576065677,-8.614125298193361,-2.109993539263485,58.55004463770024,-38.5683926303283,2.7395405769348145,1.075384497642517,0.0,1.1033170223236084,0.6743123531341553,0.0,2.6041951179504395,0.009587381035089493,0.0,1.253661870956421,-0.007989483885467052,0.0,-2.152978799040762,-3.054326380479445,-1.7339692501704613,-4.385982877638795,-0.41900954887030073,1.3316564971593499,-2.152978799040762,-1.733969250170461,-11.9326498884266,-26.999855438649803,-0.41900954887030095,-2.152978799040762,-3.054326380479445,-1.7339692501704613,-4.385982877638795,-0.41900954887030073,1.3316564971593499,-2.1529787990407625,-1.3278293170669446,-1.733969250170461,-1.023851335372917
1783422515.8847668,6.040756702423096,1783422515.5739424,1783422515.5739424,-0.0033556048292666674,0.0007669954211451113,-0.0021305233240127563,-0.0021305233240127563,2.7395405769348145,1.1033170223236084,0.2787995243194503,1.8033511990622988,0.6139604593421125,2.6041951179504395,1.2537763118743896,0.31738216766419675,1.840245107146889,0.006227213843974649,1.8033511990622988,0.0,1.840245107146889,0.01350347043093468,7.754723576065677,-8.620682279796574,-2.1138652229906087,34.820550036831236,-38.58264334474642,2.7395405769348145,1.075384497642517,0.0,1.1033170223236084,0.6743123531341553,0.0,2.6041951179504395,0.009587381035089493,0.0,1.2537763118743896,0.009587381035089493,0.0,-2.7408215958728355,-3.3173021513642302,-1.7389689187293094,-4.387613978378778,-1.001852677143526,1.0703118270145477,-2.095366788277157,-1.7499859373769158,-11.591046145680643,-27.01451889303106,-0.3453808509002414,-2.7408215958728355,-3.3173021513642302,-1.7389689187293094,-4.387613978378778,-1.001852677143526,1.0703118270145477,-2.7408215958728355,-1.691728203778765,-1.7389689187293094,-1.0268114800108221
1783422515.8910892,6.047078847885132,1783422515.5789452,1783422515.5789452,-0.0033556048292666674,0.0007669954211451113,0.0,0.0,2.7495315074920654,1.1098744869232178,0.2783014387744322,1.8112221575697212,0.9977384479723566,2.604189395904541,1.2537763118743896,0.31738288017353294,1.8402427637580172,0.003548950833909117,1.8112221575697212,1.5734054309177226,1.8402427637580172,-0.0004684436811891812,8.327489579484606,-8.244967233932512,-1.662758253500603,56.96286222226667,-39.08144139910075,2.7495315074920654,1.0578076839447021,0.0,1.1098744869232178,0.6918892860412598,0.0,2.604189395904541,0.009587381035089493,0.0,1.2537763118743896,0.009587381035089493,0.0,-2.775326843902249,-3.3191935191493465,-1.7440528056460307,-4.393395515547416,-1.0312740382562184,1.0742019963980698,-2.7753268439022487,-1.7440528056460312,-11.055195947981478,-27.012544977732148,-1.0312740382562176,-2.775326843902249,-3.3191935191493465,-1.7440528056460307,-4.393395515547416,-1.0312740382562184,1.0742019963980698,-2.7753268439022487,-1.7141916822902645,-1.7440528056460307,-1.029798492445708
1783422515.894659,6.050648927688599,1783422515.5839238,1783422515.5839238,-0.0033556048292666674,0.0007669954211451113,0.0,0.0,2.7495315074920654,1.1098744869232178,0.2783014387744322,1.8112221575697212,0.5986430687834139,2.604189395904541,1.2538384199142456,0.31739061370695504,1.8402794361149801,0.005075594960413453,1.8112221575697212,0.0,1.8402794361149801,0.007365561150169955,8.327489579484606,-8.24852576249009,-1.6648594247793753,34.0089111062999,-39.08917493252284,2.7495315074920654,1.0578076839447021,0.0,1.1098744869232178,0.6918892860412598,0.0,2.604189395904541,0.009587381035089493,0.0,1.2538384199142456,0.022370554506778717,0.0,-2.775326843902249,-3.3191935191493465,-1.7440528056460307,-4.393395515547416,-1.0312740382562184,1.0742019963980698,-2.7753268439022487,-1.7440528056460312,-11.055195947981478,-27.012544977732148,-1.0312740382562176,-2.775326843902249,-3.3191935191493465,-1.7440528056460307,-4.393395515547416,-1.0312740382562184,1.0742019963980698,-2.7753268439022487,-1.7141916822902645,-1.7440528056460307,-1.029798492445708
1783422515.9002557,6.056245565414429,1783422515.5889547,1783422515.5889547,-0.0033556048292666674,0.0007669954211451113,0.0,0.0,2.760064125061035,1.1168017387390137,0.2777775821812575,1.8195271068691505,1.0194736256770967,2.604156732559204,1.2538384199142456,0.31739468074393584,1.8402660590816835,0.001981811449489194,1.8195271068691505,1.6507194610176206,1.8402660590816835,-0.002658863816897193,8.932835585244497,-7.851623469820648,-1.1882544333016398,58.29798664435112,-39.617098562678365,2.760064125061035,1.086569905281067,0.0,1.1168017387390137,0.6807041168212891,0.0,2.604156732559204,0.0015978968003764749,0.0,1.2538384199142456,0.022370554506778717,0.0,-2.146992273085755,-2.9841500838479513,-1.747499296920525,-4.39652537094783,-0.39949297616522994,1.412375287099879,-2.8880685076896166,-1.7413621204953784,-10.839852752245264,-27.024163602336472,-1.1467063871942382,-2.8880685076896166,-3.361413572205816,-1.741362120495379,-4.393045235440148,-1.1467063871942376,1.0316316632343323,-2.8880685076896166,-1.7851098488008041,-1.7413621204953784,-1.028198029212966
1783422515.9054146,6.061404466629028,1783422515.5939438,1783422515.5939438,-0.0033556048292666674,0.0007669954211451113,0.0,0.0,2.760064125061035,1.1168017387390137,0.2777775821812575,1.8195271068691505,0.611684175406258,2.604156732559204,1.253772258758545,0.3173864426825203,1.8402269936629523,-0.0019430945792151737,1.8195271068691505,0.0,1.8402269936629523,-0.007830453622271725,8.932835585244497,-7.8478327148312905,-1.1860161496834294,35.158252764302304,-39.60886050126283,2.760064125061035,1.086569905281067,0.0,1.1168017387390137,0.6807041168212891,0.0,2.604156732559204,0.0015978968003764749,0.0,1.253772258758545,0.0031957942992448807,0.0,-2.247957227553192,-3.019760936945704,-1.733231652243333,-4.386180380699852,-0.5147255753098587,1.3664194437541477,-2.247957227553192,-1.7332316522433329,-11.211190401142293,-27.006418848093887,-0.514725575309859,-2.247957227553192,-3.019760936945704,-1.733231652243333,-4.386180380699852,-0.5147255753098587,1.3664194437541477,-2.247957227553192,-1.3894582403096574,-1.7332316522433324,-1.0234054828976267
1783422515.9099185,6.065908193588257,1783422515.598959,1783422515.598959,-0.0033556048292666674,0.0007669954211451113,0.0,-0.0021305233240127563,2.769387722015381,1.1216621398925781,0.27712790318473546,1.8260907754123696,0.8904944608531493,2.6041769981384277,1.253772258758545,0.3173839192451437,1.8402352931959018,-0.0005039293041276423,1.8260907754123696,1.3087098890234863,1.8402352931959018,0.0016548186085036548,9.465877208450632,-7.569352241991531,-0.8104211722441332,51.05044730896264,-40.25601606040824,2.769387722015381,0.9443570375442505,0.0,1.1216621398925781,0.46978166699409485,0.0,2.6041769981384277,-0.003195793367922306,0.0,1.253772258758545,0.0031957942992448807,0.0,-2.247957227553192,-3.019760936945704,-1.733231652243333,-4.386180380699852,-0.5147255753098587,1.3664194437541477,-2.247957227553192,-1.7332316522433329,-11.211190401142293,-27.006418848093887,-0.514725575309859,-2.247957227553192,-3.019760936945704,-1.733231652243333,-4.386180380699852,-0.5147255753098587,1.3664194437541477,-2.247957227553192,-1.3894582403096574,-1.7332316522433324,-1.0234054828976267
1783422515.9150248,6.071014642715454,1783422515.6039739,1783422515.6039739,-0.0034514793660491705,0.0007669954211451113,0.0,-0.004261046648025513,2.769387722015381,1.1216621398925781,0.27712790318473546,1.8260907754123696,0.5342966765118896,2.6041769981384277,1.2537518739700317,0.31738138093221896,1.8402232567317105,-0.0012624600862300283,1.8260907754123696,0.0,1.8402232567317105,-0.0024002562593836074,9.465877208450632,-7.568184279643459,-0.8097315336457088,30.6852782067426,-40.2534777474835,2.769387722015381,0.9443570375442505,0.0,1.1216621398925781,0.46978166699409485,0.0,2.6041769981384277,-0.003195793367922306,0.0,1.2537518739700317,-0.006391588598489761,0.0,-2.7455632202924614,-3.218896156586186,-1.7368213834709434,-4.387866255556113,-1.008741836821518,1.1689700989699268,-2.745563220292462,-1.7368213834709425,-10.43408050659907,-27.00257828158268,-1.0087418368215193,-2.7455632202924614,-3.218896156586186,-1.7368213834709434,-4.387866255556113,-1.008741836821518,1.1689700989699268,-2.745563220292462,-1.6985496525417134,-1.7368213834709425,-1.0255275771110854
1783422515.9206831,6.076673269271851,1783422515.6089764,1783422515.6089764,-0.0034514793660491705,0.0007669954211451113,0.0,0.0,2.7789077758789062,1.1276835203170776,0.27661771275915814,1.8334456006214452,0.908670138091418,2.6041271686553955,1.2537518739700317,0.31738758564084263,1.8402028496646285,-0.0023892259914977372,1.8334456006214452,1.4702303304607103,1.8402028496646285,-0.0040793748493993,10.014191134640916,-7.223184594476945,-0.38716185129321745,52.19985644782373,-40.769872881684485,2.7789077758789062,1.0082728862762451,0.0,1.1276835203170776,0.6024070978164673,0.0,2.6041271686553955,-0.012783174403011799,0.0,1.2537518739700317,-0.006391588598489761,0.0,-2.8419696634068905,-3.2679712330044697,-1.7320846406126473,-4.3860818801388035,-1.1098850227942432,1.1181106471343338,-2.841969663406891,-1.7320846406126473,-10.33680599966877,-27.011228791173643,-1.1098850227942436,-2.8419696634068905,-3.2679712330044697,-1.7320846406126473,-4.3860818801388035,-1.1098850227942432,1.1181106471343338,-2.841969663406891,-1.7594367711345658,-1.7320846406126478,-1.0227270889084223
1783422515.9242141,6.080204248428345,1783422515.6139817,1783422515.6089764,-0.0034514793660491705,0.0007669954211451113,0.0,0.0,2.7789077758789062,1.1276835203170776,0.27661771275915814,1.8334456006214452,0.5452020828548507,2.6041271686553955,1.2537182569503784,0.31738339971000634,1.8401830001114885,-0.0030197994823621893,1.8334456006214452,1.4702303304607103,1.8402028496646285,-0.0040793748493993,10.014191134640916,-7.221258481131001,-0.386024555673072,31.41080009463991,-40.7656869508482,2.7789077758789062,1.0082728862762451,0.0,1.1276835203170776,0.6024070978164673,0.0,2.6041271686553955,-0.012783174403011799,0.0,1.2537518739700317,-0.006391588598489761,0.0,-2.8419696634068905,-3.2679712330044697,-1.7320846406126473,-4.3860818801388035,-1.1098850227942432,1.1181106471343338,-2.841969663406891,-1.7320846406126473,-10.33680599966877,-27.011228791173643,-1.1098850227942436,-2.8419696634068905,-3.2679712330044697,-1.7320846406126473,-4.3860818801388035,-1.1098850227942432,1.1181106471343338,-2.841969663406891,-1.7594367711345658,-1.7320846406126478,-1.0227270889084223
1783422515.9298453,6.085835218429565,1783422515.6189754,1783422515.6189754,-0.0034514793660491705,0.0007669954211451113,0.0021305233240127563,0.0,2.789425849914551,1.1345080137252808,0.2760782337923028,1.8416761542166464,0.9864307200445903,2.604118585586548,1.2537182569503784,0.31738446846655044,1.8401794850212811,-0.002093456406702521,1.8416761542166464,1.6482736758291996,1.8401794850212811,-0.0007039417932130186,10.617324159109721,-6.8302438115261115,0.08575282822167173,56.63826325730456,-41.306234674247655,2.789425849914551,1.136104702949524,0.0,1.1345080137252808,0.7765779495239258,0.0,2.604118585586548,0.003195792203769088,0.0,1.2537182569503784,-0.006391588132828474,0.0,-2.27519447535232,-2.9744283580422817,-1.7305992199462414,-4.384291386947925,-0.5445952554060787,1.4098630289056437,-2.2751944753523206,-1.7305992199462417,-10.729728105251507,-27.00330045904989,-0.5445952554060789,-2.27519447535232,-2.9744283580422817,-1.7305992199462414,-4.384291386947925,-0.5445952554060787,1.4098630289056437,-2.2751944753523206,-1.4085515665280914,-1.7305992199462417,-1.0218541365608578
1783422515.9350774,6.091067314147949,1783422515.6239898,1783422515.6239898,-0.0034514793660491705,0.0007669954211451113,0.0,-0.0021305233240127563,2.789425849914551,1.1345080137252808,0.2760782337923028,1.8416761542166464,0.5918584320267541,2.604118585586548,1.2537273168563843,0.3173855965923241,1.8401848345486174,-0.0008293626016041909,1.8416761542166464,0.0,1.8401848345486174,0.001066778106043304,10.617324159109721,-6.830762905903032,0.08544632288291658,33.95850920112144,-41.30736280002134,2.789425849914551,1.136104702949524,0.0,1.1345080137252808,0.7765779495239258,0.0,2.604118585586548,0.003195792203769088,0.0,1.2537273168563843,0.0063915858045220375,0.0,-3.0398968901992123,-3.365425409372639,-1.7323606777947962,-4.385622128303361,-1.307536212404416,1.0201967189307224,-2.4273045031407396,-1.7355974493757338,-10.5296762998999,-27.00767141506875,-0.6917070537650059,-2.4273045031407396,-3.043067808899023,-1.7355974493757351,-4.387748179749752,-0.6917070537650045,1.3446803708507291,-3.0398968901992127,-1.883387888438049,-1.7323606777947949,-1.0228931561329366
1783422515.9404373,6.0964272022247314,1783422515.6289837,1783422515.6239898,-0.0034514793660491705,0.0007669954211451113,-0.0010652616620063782,-0.005326308775693178,2.80010724067688,1.1422266960144043,0.2756448631930279,1.8505214229057128,1.0635986998849272,2.6041431427001953,1.2537273168563843,0.31738253876312295,1.8401948916141364,0.0003079279395584747,1.8416761542166464,0.0,1.8401848345486174,0.001066778106043304,11.227915750152182,-6.388514987333877,0.5916666600171036,60.92207362767694,-41.73767557009506,2.789425849914551,1.136104702949524,0.0,1.1345080137252808,0.7765779495239258,0.0,2.604118585586548,0.003195792203769088,0.0,1.2537273168563843,0.0063915858045220375,0.0,-2.4273045031407396,-3.043067808899023,-1.7355974493757351,-4.387748179749752,-0.6917070537650045,1.3446803708507291,-2.4273045031407396,-1.7355974493757338,-10.5296762998999,-27.00767141506875,-0.6917070537650059,-2.4273045031407396,-3.043067808899023,-1.7355974493757351,-4.387748179749752,-0.6917070537650045,1.3446803708507291,-2.4273045031407396,-1.5038522910120213,-1.7355974493757342,-1.024803230634745
